access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,related_stations,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_charging_units,ev_network_ids.station,ev_network_ids.posts,access,has_level2,has_dc_fast,total_ports,charging_type
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129931,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,City of Victoria - Johnson Street Parkade - 4th floor,888-356-8911,10/24/2025 6:11,GPS,48.4272507,-123.3629595,Victoria,CA,NA,NA,BC,750 Johnson Street,V8W 0A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,16,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO""), c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), c(""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2"", ""2""), list(list(), list(), list(), list(), list(), list(), list(), list(), list(), list(), list(), list(), list(), list(), list(), list()), c(6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2), c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",707e0217-3cd2-4095-9e4c-792bdee4c900,"16398c9a-3efd-4310-9c99-faf1538d2766, 183d4382-3b82-4427-8884-080b362ce111, 20e20ba9-bf61-432d-bdd7-0b0aee9d03a6, 23c7f7fd-e6ba-48f0-829a-263348565b78, 391dfd67-edfc-4141-9029-58f962002d35, 491bc2db-bc50-4932-b52c-b932535dc4a4, 72dfd265-76f6-45b4-b56c-d3c3c1430b60, 8f8be82f-87e0-4206-b72d-cfceb6cf4a6c, 99dac030-f8e0-41a4-865d-1ac19261b30d, af17f21b-d14d-4c71-8db9-8b265aec7e33, b40ef892-62b3-4309-b390-77991e65c3ec, ca3fc966-4428-41c0-be83-b91ad8160d87, ca89911f-c7e5-4226-97ea-f6ce44c5ff75, cca8e346-717f-4f60-b6fa-d76df6971fc8, da939d1f-77e9-4f2d-9303-1fa89c79a116, e34b6a38-6d47-4487-9718-9c946d9ab73b",public,TRUE,FALSE,16,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129932,NA,7/17/2019,NA,NA,FALSE,E,ZEVIP,NA,City of Victoria - Centennial Square Parkade,888-356-8911,10/24/2025 6:14,GPS,48.429119,-123.365406,Victoria,CA,NA,NA,BC,645 Fisgard St,V8W 1R7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""2"", ""2""), list(""ZEVIP"", ""ZEVIP""), c(6.2, 6.2), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",fe21adfb-002b-4f58-acf8-2ace0cd29c98,"3345478d-d691-4389-b175-6c6a245072e1, ee2c7b2f-94d2-4559-ae99-3407b49d8d63",public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129934,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,Esquimalt Municipal Hall and Library,888-356-8911,10/24/2025 6:10,GPS,48.429684,-123.414071,Victoria,CA,NA,NA,BC,1229 Esquimalt Rd,V9A 3P2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(6.2, 6.2), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",61412ee0-b257-4f75-a4d9-e1bfeab1f9df,"40480adb-a4bb-484d-9d12-f7706fcf8f93, a1603a33-9fbf-4d58-8933-ec21307b442f",public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129937,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,City of Langford - City Centre Park,888-356-8911,10/24/2025 6:17,GPS,48.443185,-123.521336,Victoria,CA,NA,NA,BC,1089 Langford Pkwy,V9B 0A5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(6.2, 6.2), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",d7c88f49-9273-4954-b149-2a8b03322acd,"541f5e80-ec15-4da7-9cae-41084ef58a52, dfa356fc-d52b-4981-8411-16c7351553c9",public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129938,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,City of Colwood - Juan de Fuca Park and Ride,888-356-8911,10/24/2025 6:17,GPS,48.444594,-123.466757,Victoria,CA,NA,NA,BC,1 Ocean Blvd,V9C 1R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(6.2, 6.2), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",bc8a19ca-118b-4100-8ae5-6602b3fdb2d0,"198304bf-7406-4bcb-8858-3b71e81bebef, 287c4002-2dc6-424f-bdc3-4cdc540693e1",public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129939,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,Camosun College Lansdowne P2,888-356-8911,10/24/2025 6:18,GPS,48.447608,-123.322611,Victoria,CA,NA,NA,BC,3100 Foul Bay Road,V9P 5J2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,6,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO"", ""FLO""), c(1, 1, 1, 1, 1, 1), c(""2"", ""2"", ""2"", ""2"", ""2"", ""2""), list(list(), list(), list(), list(), list(), list()), c(6.2, 6.2, 6.2, 6.2, 6.2, 6.2), c(1, 1, 1, 1, 1, 1), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0), c(NA, NA, NA, NA, NA, NA), c(0, 0, 0, 0, 0, 0)",04ac5d85-7078-4872-9677-f213770384e2,"1ec61793-2336-4b45-b2f5-7e78bf6cff84, 97c44481-1dae-45fe-9c11-305ed866f204, a69a1b39-7720-411b-be9e-6b5fab332fdf, c75b8013-b80b-43ce-8336-3f1cf6dc7d7a, de6a3975-5006-4e62-b16b-0095c8e7d1c1, f93bfd09-fdde-4258-a013-e1f68a620a4d",public,TRUE,FALSE,6,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129940,NA,7/17/2019,NA,NA,FALSE,E,ZEVIP,NA,Cedar Hill Recreation Centre (Public),888-356-8911,10/24/2025 6:09,GPS,48.449714,-123.343123,Victoria,CA,NA,NA,BC,3220 Cedar Hill Rd,V8P 3Y3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,4,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO"", ""FLO"", ""FLO""), c(1, 1, 1, 1), c(""2"", ""2"", ""2"", ""2""), list(""ZEVIP"", ""ZEVIP"", ""ZEVIP"", ""ZEVIP""), c(6.2, 6.2, 6.2, 6.2), c(1, 1, 1, 1), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0)",cbd68471-8fb5-4c44-b366-4d4ddc5571c9,"1ba8b318-e6d4-47aa-9064-fbde13281958, b51ee4db-3429-4944-833f-ebc1bbd68b04, bc93a3ee-3902-4217-8d5a-fb7a06657183, ffdfd8cc-0f64-4103-b33c-5e483b0ea46a",public,TRUE,FALSE,4,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129941,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,FLO - Elements Casino,888-356-8911,10/24/2025 6:10,GPS,48.451184,-123.464878,View Royal,CA,NA,NA,BC,1708 island hwy,V9B 1H8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,3,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO"", ""FLO""), c(1, 1, 1), c(""2"", ""2"", ""2""), list(list(), list(), list()), c(6.2, 6.2, 6.2), c(1, 1, 1), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0)",0ab4a324-3daf-4b80-9d04-e2c539764e0c,"4cb33ac3-2e50-4d95-9425-b3fc0b2a1372, a27a6473-a73a-4161-a10b-6800390d3259, c6051648-96e2-4a3c-abeb-400b4628f0a1",public,TRUE,FALSE,3,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129943,NA,7/17/2019,NA,NA,FALSE,E,ZEVIP,NA,Pearkes Recreation Centre (Public),888-356-8911,10/24/2025 6:16,GPS,48.454236,-123.398224,Victoria,CA,NA,NA,BC,3100 Tillicum Rd,V9A 6T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,4,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO"", ""FLO"", ""FLO""), c(1, 1, 1, 1), c(""2"", ""2"", ""2"", ""2""), list(character(0), character(0), ""ZEVIP"", ""ZEVIP""), c(6.2, 6.2, 6.2, 6.2), c(1, 1, 1, 1), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0)",9d452194-d8a5-4bd9-bd6f-c62568f9f519,"570f59d3-35cd-4872-90fe-f0b416d44fb5, 6e9f87ac-182c-40be-8684-3c591264389e, 989f1bad-591e-4ea5-abbf-c8327181295e, a5922e8f-298b-430e-882b-39f5f6221be9",public,TRUE,FALSE,4,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129944,NA,7/17/2019,NA,NA,FALSE,E,ZEVIP,NA,Cedar Hill Golf Course (Public),888-356-8911,10/24/2025 6:07,GPS,48.455485,-123.343069,Victoria,CA,NA,NA,BC,1400 Derby Road,V8P 1T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,4,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO"", ""FLO"", ""FLO""), c(1, 1, 1, 1), c(""2"", ""2"", ""2"", ""2""), list(""ZEVIP"", ""ZEVIP"", ""ZEVIP"", ""ZEVIP""), c(7.2, 7.2, 7.2, 7.2), c(1, 1, 1, 1), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0), c(NA, NA, NA, NA), c(0, 0, 0, 0)",0c135e2b-9fc6-42ca-9a6d-b8d0cc9e4259,"30851e0e-e489-480f-9737-bb0bf0dbdb47, 46d7a3ed-dfa4-4e5b-b24b-198f1df9db06, 96abc540-6d2f-4382-a473-3f550ac1755a, e3c3b92c-e5bd-4171-93fd-31e0e3443dec",public,TRUE,FALSE,4,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129945,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,Saanich Municipal Hall (Public),888-356-8911,10/24/2025 6:08,GPS,48.459819,-123.3764,Victoria,CA,NA,NA,BC,770 Vernon,V8X 2W7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(6.2, 6.2), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",183357dd-42c1-47c7-995a-77bf92d79c2b,"80d555fa-8db9-487d-ab8b-415e0a3e709e, d7e6e426-9e29-4ecd-b3bb-cd7aee973812",public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129949,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,Gordon Head Recreation Centre (Public),888-356-8911,10/24/2025 6:08,GPS,48.47827,-123.32976,Victoria,CA,NA,NA,BC,4100 Lambrick Way,V8N 5R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(6.2, 6.2), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",eebd54cc-ed46-4624-b157-812bf63355c5,"b35c0017-c77e-40f9-acd4-ab9af5b27e7b, f4d956b9-5c67-4bb1-bf7e-90df61e1748c",public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129950,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,Camosun College - Interurban Campus P2,888-356-8911,10/24/2025 6:14,GPS,48.492078,-123.4158,Victoria,CA,NA,NA,BC,4461 Interurban Rd,V9E 2C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,1,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"FLO, 1, 2, list(list()), 6.2, 1, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0, NA, 0",bd0f20e0-73cc-4336-a842-cc486b41e5b5,7de9aac9-f431-4056-8f32-c7725db4e6c1,public,TRUE,FALSE,1,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129955,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,Municipal Hall,888-356-8911,10/24/2025 6:16,GPS,48.595432,-123.420579,Saanichton,CA,NA,NA,BC,1903 Mt Newton X Rd,V8M 2A9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,3,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO"", ""FLO""), c(1, 1, 1), c(""2"", ""2"", ""2""), list(list(), list(), list()), c(6.2, 6.2, 6.2), c(1, 1, 1), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0), c(NA, NA, NA), c(0, 0, 0)",6c12e6c2-b54b-4c98-adfa-c44ec57cd09c,"02cdd7b3-a02b-4068-b72f-72e2910a4e6d, 2d5ca496-092c-4213-abbe-845ee8e59d83, 71f6ca5f-35f9-4cfd-a9cb-4a1a5ee4bd11",public,TRUE,FALSE,3,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129957,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,Boundary Bay Regional Park,888-356-8911,10/24/2025 6:13,GPS,49.014813,-123.041944,Delta,CA,NA,NA,BC,541 Centennial Parkway,V4L 2L5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(7.2, 7.2), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",550ae6d5-5870-4fbf-8720-702b26a282eb,"14aa646d-4077-455a-8426-84baa1909b56, 5436789e-9376-4e7e-bb87-e8e05f3cdb52",public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129959,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,Surrey - Ocean Park Library,888-356-8911,10/24/2025 6:14,GPS,49.032633,-122.866414,Surrey,CA,NA,NA,BC,12854 17th ave,V4A 1T5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(7.2, 7.2), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",2c081a48-0d01-4832-9801-cea904472414,"6d6f6ff1-6d3b-4a24-ad44-f6dbcb279cac, eb86cb4b-b228-4336-b3a1-2e352bc96a8c",public,TRUE,FALSE,2,Level 2 Only
public,24 hours daily,NA,NA,10/24/2025,NA,ELEC,Public,129960,NA,7/17/2019,NA,NA,FALSE,E,NA,NA,Osoyoos - Gyro Park,888-356-8911,10/24/2025 6:07,GPS,49.033686,-119.463001,Osoyoos,CA,NA,NA,BC,17 Park Place,V0H 1V0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J1772,0,NA,2,FLO,https://www.flo.com,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accessible 24 heures par jour,NA,NA,Public,NA,"c(""FLO"", ""FLO""), c(1, 1), c(""2"", ""2""), list(list(), list()), c(6.2, 6.2), c(1, 1), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0), c(NA, NA), c(0, 0)",a00235cb-4446-4569-998d-59452f42d7d6,"00ea957d-e0bc-49dd-8e1d-274e7b6a630e, d31d5d88-db9c-4b6b-aa85-59ac0a167f75",public,TRUE,FALSE,2,Level 2 Only
